comment,sentiment
pull request invalid decode pull request closed none marked important go mark relevant pull request please read facing problem mark please read following read point one time think relevant pull request mark square bracket like note put letter symbol marked invalid case please open new pull request appropriate,positive
see comment original issue,positive
already implementation function aware file directory want duplicate single algorithm please consider moving file instead implementation,positive
favor older one older one assume prefer older one one,positive
two ca one hi thank feedback mean two different one reason put two one time efficiency check different convenience due fact directly related would recommend separate considering information keep like,negative
great good use may good write comprehensive fine kind would looking would help streamline,positive
anything still missing passing waiting reviewer check anything help,negative
would could review request,neutral
could please review one thanks,positive
sure check reviewer clear test would much,positive
first merge request open source project please let know anything wrong submission subsequent code bring,negative
applied would appreciate could recheck thanks lot,positive
applied would appreciate could recheck thanks,positive
made could please review really appreciate,positive
nice thanks please let know next,positive
look error message received container build give information went wrong could related specific package missing dependency sometimes certain might conflict try specific resolve ensure docker,negative
would algorithm ever useful remove link code add documentation code function list sorted integer range least one number list min heap efficiency,neutral
would algorithm ever useful,positive
already covered code compact use data class detailed,positive
return sorted set range set,neutral
could please help review pull request,neutral
pull request invalid pull request closed invalid extension repository python please read first invalid pull request,positive
nice thanks fixed anything else need,positive
static tool used identify type python code run sometimes may report even though code correct could due way work first type python code infer may report infer type variable variable assigned value second error may differ due version configuration sometimes may due configuration compatibility error prevent code running try following update version may due outdated version latest version may resolve check type correct usage type code crucial work type use complex custom code ensure correct add type sometimes resolved type may generate running alone static type tool type python code type type code generate error,positive
edit post user contribution based need understand want understand connect merge different implementation possible use module import python different form create main file import class way central location python import function function result function result function create collection algorithm class create main class class way main class python import class self self return self return architecture complex consider architecture typically set algorithm main program dynamically approach flexible also complex implement,negative
whether delete distribute implementation related several need weighed readability implementation algorithm separate file improve code readability function class separate file easier find definition specific function class code duplication similar algorithm multiple may form code duplication may violate principle repeat dry need later making multiple may lead file quantity maintenance many large number may large number may complicate project structure may increase complexity maintenance performance execution speed single file may help improve execution speed particularly complex easily found may appropriate place single file however complex need frequently may better place separate make code easier understand maintain general absolute answer question depending specific need context project may need weigh make best decision,positive
different three algorithm check graph bipartite algorithm finding solution stable matching problem code strongly polynomial algorithm maximum flow flow network implementation provided different task implementation finding maximum bipartite matching finding possible matching bipartite graph bipartite graph one whose vertex divided two disjoint every edge vertex one set vertex set multiple application list dating use bipartite match based aiming pair expressed mutual interest music movie entertainment utilize bipartite matching recommend content available music user satisfaction resource allocation volunteer bipartite matching efficiently assign based effective utilization meeting project need,positive
hi could please help thanks best sent author subject update pull request first word measure difference second word measure difference distance two standard way document return please repeat function signature confused one change change first word measure difference second word measure difference distance two param first word measure difference param second word measure difference return distance two reply directly view id,positive
garbage garbage recommendation garbage raise much pythonic,positive
thank comprehensive review appreciate valuable feedback first library nice day,positive
see code four variable one variable name none see,neutral
thanks sorry took long land future pull request could broken following ellipse circle perhaps oval base class rectangle square future trapezoid triangle pentagon circle area square yet rectangle two side four,negative
hook id exit code light light hint light anyway put something better instead,positive
review pull request added matching algorithm,neutral
purpose matching real time application algorithm whose concept applied application used provide kind service,positive
new file bunch feedback structure create current pull request difficult review great stuff need four side two building easier thank incredibly thorough code review check whether understood everything correctly mind waste time future keep code one file code review code one file simply efficient code review original structure fine think would good idea move angle side file different file structured approach leave based structure mission would better leave structure right complicated yet easy add onto future new class structure anyone simplify code directly new method class yet making harder add onto future,positive
sound like invalid input according raise,positive
hello file test file,neutral
new file bunch feedback structure create current pull request difficult review great stuff need four side two building easier,positive
added condition compare value standardized name anyone running virtual environment get issue,neutral
thanks contribution already also file python file fail,negative
hey review please thanks,positive
hi added kindly take look small difference execution time stack overflow problem happen recursion approach,positive
please add understand performance two,neutral
could someone please review,neutral
also landed fourth algorithm unified,neutral
lot could automatically fixed python pip install ruff ruff tid fix geometry,positive
hook id exit code error value type iterable index error value type iterable index error value type iterable index error argument incompatible type float error unsupported target indexed assignment iterable index error value type iterable index error value type iterable index error argument incompatible type iterable sized error value type iterable index error value type iterable index error unsupported target indexed assignment iterable index error value type iterable index error unsupported target indexed assignment iterable index error argument incompatible type iterable sized error value type iterable index error value type iterable index error value type iterable index error value type iterable index error value type iterable index error return value error overload variant list argument type float note possible overload note self note self slice list error overload variant list argument float note self none note self slice iterable none error unsupported target indexed assignment iterable index error value type iterable index error unsupported target indexed assignment iterable index error value type iterable index found file checked source,neutral
let super careful hard work people,negative
let super careful hard work people given extensive self label parent node none none self none empty self none self bool put self label none self self self node node none label parent node none none node self bool search self label node self bool self node node none label node self self remove self label none self node node node none none self node node node none none empty self bool self node node node self value none self label bool insert self none search self value node none self node node none none node none self self node node none none node none remove self value none self node node none iterable self self self list node node none none self node node node none list node node none list node self node self node node none node self node self node node none node self none self none self none self none self none self none self none self none self none self none self none none binary search tree python implementation binary search tree recursion example run python print run example python import import import print recent call last value found recent call last warning tree empty please use another import example class node self label parent node none none label parent node none none node none none list order traversal print none none test existence none true true none false false class self none node none none true false empty self none tree min false false true true import assert none assert none none import iterable import import self bool tree empty true false return none class node value left node none none right node none none parent node none none added order delete node easier put self label none put new node tree self assert none assert assert assert assert assert list node list node node node none yield yield yield label self import self node node none label parent node none none node node none node node label parent else label label node label label node else node label label already raise none none return return return node property self bool return bool self search self label node node tree node assert class root node none none node recent call last node label exist return label self bool return bool self node node none label node node none node label label exist raise else label node label label node label self yield return node self remove self label none return string order traversal return node tree self node node node none none none reset assert recent call last node label exist node label node node node else node none self node node node none none none reset parent right child node empty self bool return none self node node node else node node self value none return self label bool insert new node binary search tree value label node value create new node tree empty set root else tree empty root none return true get leaf value go left none insert new node leaf break else else none break else node tree insert self none value value true search self value node none raise warning tree empty please use another else node use lazy evaluation avoid attribute error node none value node value else return node false try label return true except return false self node node none none node none self go deep right branch node none none return none node label inserted tree none node return node recent call last binary search tree empty self node node none none node none go deep left branch node none node return none node none node return node raise binary search tree empty remove self value none look node label node value node none value value found raise node none node none none node none none right node none left node else predecessor value left branch type ignore type ignore value node delete keep tree structure return self node node none iterable node none yield node preorder traversal yield yield self self function traversal tree pas function traversal tree client code none return else return min label inserted tree self list node node none none perform traversal append list node recent call last binary search tree empty self node node return element binary search tree list node append list traversal return none raise binary search tree empty node none node node none list node left self right none return return node none list node self node return traversal tree return self node node none node node none yield yield node yield self node return preorder traversal tree return self node node none node node none yield node yield yield class return self none assert assert none assert none assert assert none assert assert assert none assert assert assert none assert assert assert none assert assert self none node assert node assert self none assert none assert none assert none assert none assert none assert none assert none assert none assert none assert assert none assert none assert assert assert assert none assert assert assert none assert assert assert assert assert assert assert none assert none assert assert none assert assert assert self none assert none assert none assert none assert none assert none assert none assert assert assert assert assert assert assert assert assert self none assert none self none assert assert self none assert assert self none assert self none assert self none assert self none assert none example example deletion left right self none return import print print label print label print label print label list traversal print traversal list preorder traversal print preorder traversal print label print min label delete print print list traversal delete print traversal delete list preorder traversal delete print preorder traversal delete print label print min label,positive
hey please review unable make limit open,negative
trick create pull branch master go click sync fork button master go click new branch button give branch name clear intended change step done step previous creep,positive
work issue trouble branch could please help understand,negative
people even translation sense,neutral
sorry lot traditionally dunder double underscore appear top class bottom one preferably one obvious way sense simplify either dunder original four decide whether audience would prefer syntax like python set different one remove one group python set original four element bool element float although python let think,positive
please add label accepted thank,neutral
sure commit message got,positive
create branch time like last time affected one create branch time nothing affected thank,neutral
trick create pull branch master go click sync fork button master go click new branch button give branch name clear intended change done previous creep,positive
hi sure writing affected get information open another affect,positive
ca change two time read,neutral
raised number positive integer kindly review,positive
send without making issue,neutral
resolved issue kindly review,positive
sorry mistakenly resolve related peak,negative
right sir know thinking finally got fixed,positive
error undefined name error undefined name error undefined name error undefined name error undefined name error process exit code sorry correct,negative
error undefined name error undefined name error undefined name error undefined name error undefined name error process exit code,neutral
accept failing scroll line,neutral
kindly review added new algorithm special section,positive
everything still pas build test working,neutral
pull request eight different,neutral
hey please see build due zero division error please help identify loop maybe,negative
hey able find mon wrote added collaborator fork reply directly view id,positive
hey help problem well,neutral
thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
main function create simplify main unified expression,positive
round rounding decimal got,negative
run computer python work perfectly even build fail seem failing image,positive
thank please review let know,neutral
failing idea file never acronym reader need guess thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
hi review please remove invalid label otherwise get please help,neutral
want one solution code understand correctly three removed correct,neutral
invalid something wrong sorry close request make appropriate commit open new sorry mistake,negative
easy python thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
test fail due approximation answer essence method review additional change,negative
duplicate thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
thank could please look well,neutral
sorry little late making yesterday showing outdated could please look,negative
use case covered thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
already two merge thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
six thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
failing thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
python syntax error thank contribution busy new pull end properly review approximately open pull hope try contribute st,positive
thank contribution busy new pull end properly review approximately open pull hope try contribute end let close pull concentrate pull already open,positive
issue still see one got,neutral
rocket please give star already done,neutral
error list float attribute shape error attribute error many error determine type error many error determine type error list float attribute error attribute error attribute error attribute error return value error attribute,positive
also python set enable following notation set membership must return bool self item set intersection self set union self complement self could enable membership could enable intersection could enable union could enable complement,neutral
finding often empty file directory tend use live code often easier new understand please feel free create pull make code want,positive
cool get removed file several main file make pas approve merge see missing please open new pull request mention failing added remove test label sure shall work thank thank thank thank much,positive
please give time review code without hey fix typo error make code descriptive new open source reading bot suggestion found loop like function hint problem,positive
please give time review code without,neutral
merge sort array implementation code python mid mid mid else input enter array print array,neutral
see sorry didnt notice,negative
hey put label pull request,neutral
right typo code snippet provided first argument second call rather algorithm finding pair also divided two splitting good way reduce time complexity,positive
hi please see anything change thank,neutral
looking build file one like correctly tested rerun pas let merge one,neutral
closed pull request title explain pull request also two one pull request,negative
go sort directory already,neutral
marking closed since made fix,negative
hi possibility soon would prefer code new,positive
read open propose new also assign want contribute algorithm open,positive
nice could please try merge run time time update ran time number successful,positive
nice could please try merge,positive
thanks quant please keep trying make faster without becoming flaky test sec th tried calling function time sometimes fail tried also think close optimal number import range,positive
consider encouraging use web doubt would speed would continue push learn new currently import,positive
old closed mistake one please review merge,neutral
thanks quant please keep trying make faster without becoming flaky test sec th call call call call call call call call call call warning,positive
merge pull request since automatically,neutral
collision collusion collision collusion collision collusion fixed,positive
checked also worked apologize right away try several time fail try find optimal number,negative
collision collusion collision collusion collision collusion,neutral
make million pas tried measure time time faster summary performance code forward propagation explanation import math import random sigmoid value float bool false float return sigmoid function float true return value value return initial value float return value found forward propagation training true false random weight weight float range forward propagation weight much miss error delta true update weight weight return import import old print old new print new print output,negative
would willing look see speed sped slow able speed one tried without success,positive
found folder source code help,neutral
one point tried decrease number like work even enough model converge within true value return value found forward propagation training true got false like saying implementation suboptimal,positive
read want contribute algorithm open,neutral
hi merge possible hey please review thanks,positive
hey review please thanks ah realize hard range nice catch maintainer though wo one,positive
python class matrix list list self row yield row thank review know decorator definitely python class,neutral
potential issue line since original list inside loop also change original block list therefore safe check directly removing minimum element condition current block empty open block removed list valid necessary step block sort algorithm ensure correctly code correctly block sort algorithm input list size block single sorted list case code empty input empty list also verify correctness implementation,positive
every algorithm list sped except need altogether every fixable warning fixed want update issue want close issue,positive
see build failing error short test summary warning error process exit code touched file trying figure wrong file even could figure would mean pull request would touch one algorithm supposed need check test,negative
requirement suggestion pull request work,neutral
spent good time understanding issue come conclusion issue file due library file coverage module python file code coverage checked actually python file configuration file thats warning,positive
currently similar task feel really plus add conversion algorithm would certainly go directory rather directory,positive
also file already please remove extraneous file,neutral
hi chance could review pull request,neutral
please provide descriptive name parameter want avoid variable please use variable help reader understand algorithm,neutral
apart getting local error access generic instance via class ambiguous error incompatible return value type got self please help,neutral
getting conflicting ruff error module attribute self note use import self instead change ruff import instead self import import import self import help import,neutral
hey please review thanks advance,positive
coverage could parse locate source code like first confirm file accurate validate source code exist project directory ensure covered analysis check coverage configuration include relevant source running coverage analysis correct directory source reside check file permission update coverage verify python environment setup persist review case sensitivity consider seeking assistance development team relevant,positive
done take another look,neutral
awesome assigned feel free make,positive
hey found problem algorithm please issue thank,neutral
since exponential search different algorithm binary search file gotten file,neutral
already implementation algorithm already told previous,negative
see build failing error short test summary warning error process exit code touched file trying figure wrong file even could figure would mean pull request would touch one algorithm supposed,negative
please contribute multiple single difficult u review general principle separate git feature work order avoid like please read,negative
already algorithm two also use min heap please check see algorithm already still wish contribute algorithm please consider improving instead,neutral
day left end someone please review code,neutral
pull request invalid pull request closed description empty believe done mistake please read opening new pull request template properly filled thank interest project,positive
added input validation check capacity accordingly,neutral
system accept pull merge,neutral
sure understand point could please elaborate,positive
please review add accepted label,neutral
mistake fork closed raising new apologize confusion inconvenience,positive
ran list range test case giving output sorted list,neutral
run locally python likely reason build hanging interestingly though fine run python recent call last file string line module file line file line self module,positive
hey thanks sorry keep waiting take look weekend,negative
comment see start work,neutral
long unique try running locally python,positive
hi done could review let know good enough thanks,positive
need work fix failing improving,neutral
could please take look pull request make necessary suggest,neutral
may issue handle based anyone confirm list range work,neutral
hi sure code provided would output sorted list error algorithm implementation,positive
maybe try sorted print,neutral
recently put binary single file could study together,negative
took quick look found two potential seem similar could find option file documentation option output file without terminal source another action could parse output separately willing try another testing library generate separate could point coverage source would look like image,positive
could move function bottom file right done,positive
error sort given edit fixed error zip function,positive
test case output sorted zip unsupported operand type test code handle case input another unexpected type string,positive
successfully executed yielding following output test,positive
loss function consolidated could move new code file added code,positive
import password return password password password password password password word password doe user password example usage password password print password strong else print password weak,positive
already many review patient,positive
click button right scroll line test failing believe pas comment fix test pull request create separate pull request fix done,positive
great please open another pull request merge one one,positive
removed added one change code,neutral
closed pull request properly testing function however found test local function pull request ask whether need implement way actually test function merge anyways working tested function isolated file,negative
yeah program fine look output towards end test thing testing function mention function output take function outside function something like number recursion recent call last exception negative raise exception negative return return list first recursion recent call last exception negative raise exception negative return range notice function function run program fine function tested well output test take function function global function instead local function,negative
instead breaking compatibility create solution use,neutral
know run code error come computer python compiler interpreter,neutral
file longer list ca believe reason slow sleep call code skull call call call call call call call call call call warning,negative
file since please open new work version file also delete,positive
entirely quick browse profile forked code nearly identical code furthermore quick search reveal code copied many none original work,positive
added empty list negative,negative
welcome happy able contribute,positive
oh yeah bad forgot thing show really indeed first run say function tested second part code want whole file link list first recursion recent call last exception negative number recursion recent call last exception negative raise exception negative return return raise exception negative return range,negative
write code like difficult photo know issue unable copy code,negative
accidentally closed issue sorry,negative
hold testing function question believe function need figure something sorry properly,negative
thanks help directly added file via run run local machine different,positive
click button right scroll line test failing believe pas comment fix test pull request create pull request fix,positive
open solicit code almost day made make review proceed,neutral
like said file well multiple checked acknowledge one algorithm file ease review please open separate separate made new kindly review,positive
none failure line sense could review please,negative
algorithm added thanks contribution unfortunately chose different algorithm one one thorough implementation,negative
short test summary warning ugh file,neutral
binary tree already however implementation representation binary tree rather representation personally prefer implementation keep one replace implementation,neutral
see documentation unit confusion regarding added mistake correct title,neutral
loss function consolidated could move new code file done,positive
perhaps clear without output analysis full suite run command directly build file run,positive
understand context issue write look low test coverage saw file coverage file almost confused right probably unless module loaded particular way something,positive
also description say instead fix test coverage issue otherwise would automatically close issue,neutral
thanks contribution already multiple algorithm latter similar implementation please consider improving implementation instead opening new one,positive
like said file well multiple checked acknowledge one algorithm file ease review please open separate separate,neutral
following lack response code review several failing remain unfixed,neutral
entirely code user tried submit multiple time already marked,positive
pull request invalid pull request closed invalid extension repository python please read first invalid pull request data data data data data data data data data,positive
without ca tell discrepancy come however likely problem rather repository,neutral
open issue propose new read also assign open feel something contribute already already say,positive
demonstration module implement aes algorithm please read,neutral
added aware accepted apologize inconvenience welcome contribute different algorithm instead,positive
added aware older unfortunately different instead sorry inconvenience suggest contribute different algorithm instead,negative
label need label individual accepted even without label,neutral
merge one yet still make please mark draft,neutral
already implementation hash demonstration library actually implement algorithm please read,neutral
thanks contribution already nearly identical implementation gnome sort please read check algorithm,positive
would anyone able review pull request,positive
need see raised invalid input like many open pull review week left,positive
please add label accepted,neutral
going close think already covered would encourage something similar please try add method file output would like,neutral
explain whats error cause,neutral
open issue propose new read directly open pull request new algorithm,positive
none failure line sense,negative
hi create issue instead create pull request,neutral
run build computer command python computer,neutral
label pas run build computer command python,neutral
let change line commitment return python unsorted list let change vague name unsorted,negative
would help could add label thanks,positive
generate similar different line,neutral
added please look let know,neutral
merge one yet still make,neutral
hey added topological sort let know need made please add tag thanks,positive
awesome went ahead made format,positive
thanks glad learnt something new,positive
go directory shell sort,neutral
open issue propose new read,positive
pull request invalid pull request closed invalid extension repository python please read first invalid pull request face recognition,positive
thanks please add label label thanks,positive
like monolithic kind question course single make code base easier maintain number code base opinion working always best room work agile level make significant project algorithmic would want complicate unassigned variable cause single monolithic code base contrast modular single file algorithm prevent problem candid opinion stick single,positive
actually run prerequisite run report use testing library first generate file generate file must run command first present would generate file later use run coverage tab visualize result independently summary run entirely running command,positive
alright ill make new issue thing meanwhile make pull request several double check everything,negative
let know done per added nothing else added code,neutral
run coverage separately separate,neutral
please open new pull request copy pull request new pull request come back code pull request hi removed code remain exception bug fix method considering method doc used also method description,positive
python yes perfect nothing got true python get perfect nothing got true tell resolve trying perfect true test,positive
understood want run coverage report separately right,positive
please help review pull request write,neutral
maybe create new issue since scope issue addition sat wrote hi looking function found untested function inside function added issue good wondering whether define function globally see point function want propose move function separate function would issue reply directly view thread triage go mobile android,positive
hi looking function found untested function inside function added issue good wondering whether define function globally see point function want propose move function separate function would issue,positive
thought sorted bad idea second item might different two function might tell second item list third item raise unsorted input,negative
python get perfect nothing got true,positive
everything fixed per local computer build,positive
correct case without one easy review read see make sense hit corner look build output see running none among ten running approve would easier review chosen directory,positive
reiterate talking code coverage part,neutral
tried code part pop case,neutral
spent good time understanding issue come conclusion issue file due library file coverage module python file code coverage checked actually python file configuration file thats warning tried implement code without external still,positive
see would much use need every single issue,positive
clearly read much le content issue,positive
problem huge wall output single command run action like said tried separate output two separate avail want take stab welcome open experiment see somehow separate testing output progress bar test coverage output coverage statistic difficulty far tell way check coverage without also running,positive
pull request invalid johannes pull request closed none marked important go mark relevant pull request please read facing problem mark please read following read point one time think relevant pull request mark square bracket like note put letter symbol marked invalid case please open new pull request appropriate,positive
two ruff error line long,negative
algorithm calculate love percentage person,positive
trick change code fix test change test describe code actually work,neutral
signum unexpected exception recent call last file line compile single file line module file line signum test test,positive
signum unexpected exception recent call last file line compile single file line module file line signum,positive
please bring back old add meet tell add,positive
please remove original developer might good particular also please run python computer know going pas build test signum function number custom test signum got finally please try add show algorithm difficult garbage input signum signum signum signum signum,positive
function class type please read definition algorithm,neutral
feel really punctuation end without much improvement actual documentation,positive
failing error issue moving another fixed,positive
issue get resolved please review merge one thing case run run getting log git,neutral
ah right see bit hard find since going build automatically end summary took first post sure contributor make since believe tied organization would better put place short test summary supposed one file time size short test summary ever making section redundant something fix describe took take stab image,positive
code commit coming file update error audit open permitted use file custom often help,neutral
check change cause made per choice,neutral
error audit open permitted use file custom often unexpected error process exit code ruff error update error fixed,positive
hello new branch ruff test ruff test saying line long need write long one function wrote long dictionary share dictionary different,negative
actually see test build progress bar could parse source code could parse source code true recent call last unexpected exception index must float recent call last file line compile single file line module file line false file line color list index must float know hard find tried separate test coverage two separate past work,negative
realize dependent per file file gave identical unsure close nice unified way meaningful,positive
yes thank much help,positive
hey assign issue please,neutral
title pull request unacceptable,neutral
please run code computer know work u,neutral
code total come added coverage file barely percentage thanks figured actually looking wrong test coverage looking loading test session thinking pointed first image,neutral
describe change add algorithm fix bug typo algorithm add change note please avoid code single pull request documentation change read pull request work know pull fail one algorithm file ease review please open separate separate new python inside directory variable follow python naming function return python type pas testing new include least one another similar explanation pull request one open description issue number,negative
commit message second checked bullet say thank feedback comment may made variable readability removed tick,neutral
added bit match find difficult reason practical application algorithm,negative
commit message second checked bullet say,neutral
hi code coverage main block file linked,positive
